Domain name,Company name,Category,Language,Popularity,Twitter,Facebook,Email addresses on Hunter
hellscanyonraft.com,Hells Canyon Raft,Hobby & Leisure,en,1,idahorafting,hells-canyon-raft-104715012306389,2
solusi.ac.zw,Solusi University,Education & Career,en,2,solusiuni_263,solusi-university-441288199368674,24
fastube.com,Fastube,,en,1,fastube,fastubeusa,3
siveict.co.za,Sive ICT,Technology,en,1,siveict,siveict.co.za,0
automotiveps.com,Autmotive Parts Solutions,Automotive,en,1,,,3
akemi.be,AKEMI Benelux bv,Manufacturing,en,2,,,1
tornum.com,TORNUM,Manufacturing,en,3,,tornumab,8
monteazul.org.br,Jovem Aprendiz Monte Azul,Law & Government,,2,,,51
mayglothlingwaste.com,Mayglothling Waste,Science,en,1,,,0
junglebaydominica.com,Jungle Bay Dominica,Travel,en,3,,junglebaydominica,4
apricotpower.com,Apricot Power,Beauty & Fitness,en,3,apricotpowerb17,apricotpowerb17,3
globus.co.uk,Globus,,en,3,,,7
lbxonline.com,LBX Online,,,1,,,0
dance-news.co.uk,"Dance News - Future Events
Print",Education & Career,en,3,,,1
spaceshipsrentals.com.au,Spaceships Rentals Sydney,Travel,en,3,,spaceships,2
equals.edu.au,EQUALS International,Education & Career,en,3,,,11
lombardolawoffice.com,Lombardo Law Office,Law & Government,en,1,,lombardolawbankruptcy,1
ctrinstitute.com,Crisis & Trauma Resource Institute,Law & Government,en,3,,,30
namthaison.com.vn,Nam Thai Son Import & Export JSC.,Manufacturing,vi,1,,baobinamthaison,19
wildcabotours.com,Wild Cabo Tours,Travel,en,2,wildcabotours,wildcabotours,3
rollacover.com,"Roll-A-Cover, Intl.",Art & Entertainment,en,1,rollacover,rollacoverintl,2
idesystems.co.uk,IDE Systems,Manufacturing,en,1,ide_systems,idesystems,6
kennedyvoice-berliner.com,Kennedy Voice Berliner,Internet & Telecom,en,2,,,18
daiphatcompany.com.vn,,,vi,1,,,2
joygenea.com,JoyGenea,Education & Career,en,1,joygenea,joygeneaschumer,1
sparkworld.co.uk,Sparkworld,Retail,en,1,sparkworldltd,sparkworldltd,4
isobil.com.tr,İSOBİL,Technology,it,2,isobilcom,isobilcom,3
yourmovingservice.com,TEMS,Home & Garden,en,2,,,3
mrsystems.co.uk,MR,Technology,en,2,mrsystems,,8
guerilla.co.uk,Guerilla Communications,Internet & Telecom,en,3,we_are_guerilla,weareguerilla,5
zermattholidays.com,Zermatt Holidays,Travel,en,2,zermattholidays,zermattholidays,0
audionova.ro,Audionova,Manufacturing,it,2,audionovaro,audionovaromania,65
